N,Call_MC,Call_SE,Call_CI_lower,Call_CI_upper,Call_abs_err,Call_rel_err
1000,10.516569,0.472961,9.589566,11.443572,0.065986,0.006314
2000,10.896039,0.337289,10.234952,11.557126,0.445456,0.042625
3000,10.719031,0.273481,10.183008,11.255054,0.268447,0.025687
10000,10.45017,0.147813,10.160457,10.739883,0.000414,4e-05
20000,10.530679,0.104895,10.325085,10.736272,0.080095,0.007664
30000,10.432731,0.084884,10.266358,10.599105,0.017852,0.001708
100000,10.473892,0.046589,10.382577,10.565207,0.023308,0.00223
200000,10.462392,0.032887,10.397934,10.52685,0.011809,0.00113
300000,10.451689,0.026844,10.399075,10.504303,0.001105,0.000106
1000000,10.434158,0.0147,10.405346,10.462969,0.016426,0.001572
2000000,10.44668,0.010408,10.42628,10.46708,0.003904,0.000374
3000000,10.448503,0.008496,10.431852,10.465155,0.00208,0.000199
10000000,10.450757,0.004654,10.441635,10.45988,0.000174,1.7e-05
