N,Call_MC,Call_SE,Call_CI_lower,Call_CI_upper,Call_abs_err,Call_rel_err,Put_MC,Put_SE,Put_CI_lower,Put_CI_upper,Put_abs_err,Put_rel_err
1000,10.516569,0.472961,9.589566,11.443572,0.065986,0.006314,5.321528,0.259992,4.811943,5.831113,0.251998,0.045213
2000,10.896039,0.337289,10.234952,11.557126,0.445456,0.042625,5.155901,0.185282,4.792747,5.519054,0.417625,0.07493
3000,10.719031,0.273481,10.183008,11.255054,0.268447,0.025687,5.247244,0.152079,4.949169,5.54532,0.326282,0.058541
10000,10.45017,0.147813,10.160457,10.739883,0.000414,4e-05,5.601717,0.086945,5.431305,5.77213,0.028191,0.005058
20000,10.530679,0.104895,10.325085,10.736272,0.080095,0.007664,5.530763,0.061097,5.411013,5.650514,0.042763,0.007672
30000,10.432731,0.084884,10.266358,10.599105,0.017852,0.001708,5.568031,0.049889,5.470249,5.665812,0.005495,0.000986
100000,10.473892,0.046589,10.382577,10.565207,0.023308,0.00223,5.574186,0.027382,5.520518,5.627853,0.00066,0.000118
200000,10.462392,0.032887,10.397934,10.52685,0.011809,0.00113,5.566778,0.019357,5.528839,5.604718,0.006748,0.001211
300000,10.451689,0.026844,10.399075,10.504303,0.001105,0.000106,5.572731,0.015805,5.541754,5.603708,0.000795,0.000143
1000000,10.434158,0.0147,10.405346,10.462969,0.016426,0.001572,5.588557,0.008668,5.571569,5.605546,0.015031,0.002697
2000000,10.44668,0.010408,10.42628,10.46708,0.003904,0.000374,5.585204,0.00613,5.573189,5.59722,0.011678,0.002095
3000000,10.448503,0.008496,10.431852,10.465155,0.00208,0.000199,5.580993,0.005003,5.571187,5.5908,0.007467,0.00134
10000000,10.450757,0.004654,10.441635,10.45988,0.000174,1.7e-05,5.574929,0.002738,5.569563,5.580295,0.001403,0.000252
